dataset,signal,hits,discard_hits,keep_hits,discard_rate,lift,base_rate
260111_Delta-Water-Filtration,one_or_fewer_open,1339,346,993,0.25840179238237493,0.0011955839566543114,0.2572062084257206
251101_THD-CX,very_fast_under_5min,302,19,283,0.06291390728476821,0.0009716500669204459,0.06194225721784777
251101_THD-CX,no_open_text,0,0,0,0,0,0.06194225721784777
251101_THD-CX,placeholder_open,0,0,0,0,0,0.06194225721784777
251101_THD-CX,meta_open,0,0,0,0,0,0.06194225721784777
251101_THD-CX,junk_open,0,0,0,0,0,0.06194225721784777
251101_THD-CX,termflags_nonzero,0,0,0,0,0,0.06194225721784777
251101_THD-CX,list_25,0,0,0,0,0,0.06194225721784777
251205_TFG-Contractor-Index-Q1,no_open_text,878,97,781,0.11047835990888383,0.0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,one_or_fewer_open,878,97,781,0.11047835990888383,0.0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,placeholder_open,0,0,0,0,0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,meta_open,0,0,0,0,0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,junk_open,0,0,0,0,0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,many_short_open,0,0,0,0,0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,termflags_nonzero,0,0,0,0,0,0.11047835990888383
251205_TFG-Contractor-Index-Q1,list_25,0,0,0,0,0,0.11047835990888383
260111_Delta-Water-Filtration,meta_open,0,0,0,0,0,0.2572062084257206
260111_Delta-Water-Filtration,junk_open,0,0,0,0,0,0.2572062084257206
260111_Delta-Water-Filtration,many_short_open,0,0,0,0,0,0.2572062084257206
260111_Delta-Water-Filtration,list_25,0,0,0,0,0,0.2572062084257206
260111_Delta-Water-Filtration,classify_1,0,0,0,0,0,0.2572062084257206
260111_Delta-Water-Filtration,classify_2,0,0,0,0,0,0.2572062084257206
260200_SBD,one_or_fewer_open,787,350,437,0.44472681067344344,0.0,0.44472681067344344
260200_SBD,placeholder_open,0,0,0,0,0,0.44472681067344344
260200_SBD,meta_open,0,0,0,0,0,0.44472681067344344
260200_SBD,junk_open,0,0,0,0,0,0.44472681067344344
260200_SBD,many_short_open,0,0,0,0,0,0.44472681067344344
260200_SBD,list_25,0,0,0,0,0,0.44472681067344344
260206_OC-BH,list_25,0,0,0,0,0,0.1732902033271719
260300_ECHO,no_open_text,0,0,0,0,0,0.35312899106002554
260300_ECHO,one_or_fewer_open,0,0,0,0,0,0.35312899106002554
260300_ECHO,list_25,0,0,0,0,0,0.35312899106002554
260306_TFG-Contractor-Index-Q2,no_open_text,1117,402,715,0.35989256938227393,0.0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,one_or_fewer_open,1117,402,715,0.35989256938227393,0.0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,placeholder_open,0,0,0,0,0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,meta_open,0,0,0,0,0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,junk_open,0,0,0,0,0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,many_short_open,0,0,0,0,0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,termflags_nonzero,0,0,0,0,0,0.35989256938227393
260306_TFG-Contractor-Index-Q2,list_25,0,0,0,0,0,0.35989256938227393
260401_-OC-CAN,meta_open,0,0,0,0,0,0.3835800807537012
260401_-OC-CAN,junk_open,0,0,0,0,0,0.3835800807537012
260401_-OC-CAN,termflags_nonzero,0,0,0,0,0,0.3835800807537012
260401_-OC-CAN,list_25,0,0,0,0,0,0.3835800807537012
260403_Masterlock-Conjoint,one_or_fewer_open,916,206,710,0.22489082969432314,0.0,0.22489082969432314
260403_Masterlock-Conjoint,junk_open,0,0,0,0,0,0.22489082969432314
260403_Masterlock-Conjoint,many_short_open,0,0,0,0,0,0.22489082969432314
260403_Masterlock-Conjoint,termflags_nonzero,0,0,0,0,0,0.22489082969432314
260403_Masterlock-Conjoint,missing_supplier,0,0,0,0,0,0.22489082969432314
260403_Masterlock-Conjoint,list_25,0,0,0,0,0,0.22489082969432314
260404_ADDO,no_open_text,0,0,0,0,0,0.2640117994100295
260404_ADDO,meta_open,0,0,0,0,0,0.2640117994100295
260404_ADDO,junk_open,0,0,0,0,0,0.2640117994100295
260404_ADDO,termflags_nonzero,0,0,0,0,0,0.2640117994100295
260404_ADDO,missing_supplier,0,0,0,0,0,0.2640117994100295
260404_ADDO,list_25,0,0,0,0,0,0.2640117994100295
260404_ADDO,classify_1,0,0,0,0,0,0.2640117994100295
260404_ADDO,classify_2,0,0,0,0,0,0.2640117994100295
