rank,dataset,field,family,question,unique_values,score,top_values_json
15,260306_TFG-Contractor-Index-Q2,dcua,fielding_technical,Captured variable,7,83.5409,"[["".."", 389, 285, 0.7326478149100257, 0.3727552455277518], [""sa"", 494, 74, 0.14979757085020243, -0.2100949985320715], [""si"", 216, 38, 0.17592592592592593, -0.183966643456348], [""ta"", 14, 4, 0.2857142857142857, -0.07417828366798823]]"
16,260306_TFG-Contractor-Index-Q2,vmobiledevice,other,Mobile device category,3,82.7977,"[[""5"", 390, 285, 0.7307692307692307, 0.3708766613869568], [""1"", 711, 112, 0.15752461322081576, -0.20236795616145817], [""3"", 16, 5, 0.3125, -0.04739256938227393]]"
17,260306_TFG-Contractor-Index-Q2,vmobileos,other,Mobile OS,3,82.6245,"[[""6"", 392, 286, 0.7295918367346939, 0.3696992673524199], [""2"", 509, 78, 0.15324165029469547, -0.20665091908757846], [""1"", 216, 38, 0.17592592592592593, -0.183966643456348]]"
18,260306_TFG-Contractor-Index-Q2,q45f,demographic_profile,How would you say your property is investing their BUDGET?,13,81.838,"[[""8"", 78, 68, 0.8717948717948718, 0.5119023024125979], [""__MISSING__"", 825, 172, 0.2084848484848485, -0.15140772089742544], [""9"", 45, 44, 0.9777777777777777, 0.6178852083955038], [""7"", 53, 45, 0.8490566037735849, 0.489164034391311], [""10"", 44, 33, 0.75, 0.39010743061772607], [""6"", 19, 15, 0.7894736842105263, 0.4295811148282524]]"
19,260300_ECHO,q29,brand_funnel_ad,What do you remember about the ECHO outdoor power equipment advertisement?,300,80.1776,"[[""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
20,260300_ECHO,q11othr4,ownership_use_product,,270,79.8169,"[[""1"", 14, 14, 1.0, 0.6468710089399745], [""2"", 9, 9, 1.0, 0.6468710089399745], [""Generator"", 7, 1, 0.14285714285714285, -0.2102718482028827], [""None"", 17, 4, 0.23529411764705882, -0.11783487341296672], [""__MISSING__"", 1153, 391, 0.3391153512575889, -0.01401363980243664], [""Any"", 10, 5, 0.5, 0.14687100893997446]]"
21,260306_TFG-Contractor-Index-Q2,q40,demographic_profile,"Thinking of ALL your lead sources, is your company’s ability to close leads improving, staying the same or declining?",11,78.0189,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""5"", 240, 30, 0.125, -0.23489256938227393], [""6"", 81, 11, 0.13580246913580246, -0.22409010024647147], [""8"", 166, 40, 0.24096385542168675, -0.11892871396058718], [""7"", 122, 28, 0.22950819672131148, -0.13038437266096245], [""4"", 22, 2, 0.09090909090909091, -0.26898347847318305]]"
22,260306_TFG-Contractor-Index-Q2,q45h,demographic_profile,What percent of your property’s units would you say are RENEWED each year?,13,77.9567,"[[""__MISSING__"", 825, 172, 0.2084848484848485, -0.15140772089742544], [""8"", 69, 58, 0.8405797101449275, 0.48068714076265356], [""7"", 65, 55, 0.8461538461538461, 0.4862612767715722], [""5"", 33, 30, 0.9090909090909091, 0.5491983397086351], [""4"", 27, 22, 0.8148148148148148, 0.45492224543254084], [""6"", 30, 23, 0.7666666666666667, 0.4067740972843928]]"
23,260306_TFG-Contractor-Index-Q2,q43,demographic_profile,"Thinking of ALL your lead sources, what is the current volume of your company’s leads and inquiries?",11,77.7619,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""5"", 134, 13, 0.09701492537313433, -0.2628776440091396], [""7"", 157, 29, 0.18471337579617833, -0.1751791935860956], [""6"", 121, 20, 0.1652892561983471, -0.19460331318392682], [""8"", 202, 47, 0.23267326732673269, -0.12721930205554124], [""3"", 14, 1, 0.07142857142857142, -0.2884639979537025]]"
24,260300_ECHO,q11othr2,ownership_use_product,,208,77.4935,"[[""2"", 19, 19, 1.0, 0.6468710089399745], [""4"", 16, 16, 1.0, 0.6468710089399745], [""__MISSING__"", 1249, 399, 0.31945556445156126, -0.033673426608464285], [""Drill"", 7, 0, 0.0, -0.35312899106002554], [""Leaf blower"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
25,260306_TFG-Contractor-Index-Q2,q45g,demographic_profile,What would you say is your property’s current OCCUPATION RATE?,12,77.0376,"[[""8"", 85, 73, 0.8588235294117647, 0.4989309600294907], [""__MISSING__"", 825, 172, 0.2084848484848485, -0.15140772089742544], [""7"", 65, 54, 0.8307692307692308, 0.4708766613869569], [""9"", 46, 40, 0.8695652173913043, 0.5096726480090303], [""6"", 23, 19, 0.8260869565217391, 0.4661943871394652], [""5"", 24, 17, 0.7083333333333334, 0.34844076395105944]]"
26,260306_TFG-Contractor-Index-Q2,q42,demographic_profile,"Thinking of ALL your lead sources, how would you rate the quality of your company’s leads/ inquiries over the last 12 months?",11,76.0881,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""5"", 97, 10, 0.10309278350515463, -0.25679978587711927], [""7"", 163, 33, 0.20245398773006135, -0.15743858165221258], [""6"", 80, 12, 0.15, -0.20989256938227394], [""8"", 214, 50, 0.2336448598130841, -0.12624770956918982], [""4"", 16, 0, 0.0, -0.35989256938227393]]"
27,260306_TFG-Contractor-Index-Q2,q37,matrix_attributes,How has your company’s average revenue per project changed over the past 12 months?,5,75.061,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""3"", 296, 42, 0.14189189189189189, -0.21800067749038204], [""1"", 444, 116, 0.26126126126126126, -0.09863130812101267], [""2"", 72, 12, 0.16666666666666666, -0.19322590271560727], [""4"", 13, 2, 0.15384615384615385, -0.20604641553612008]]"
28,260306_TFG-Contractor-Index-Q2,q41,demographic_profile,"Thinking of ALL your lead sources, what percent of your leads/inquiries typically turn into a new job?",13,74.9493,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""6"", 100, 17, 0.17, -0.18989256938227392], [""9"", 104, 20, 0.19230769230769232, -0.1675848770745816], [""10"", 57, 8, 0.14035087719298245, -0.21954169218929148], [""8"", 90, 17, 0.18888888888888888, -0.17100368049338505], [""2"", 40, 5, 0.125, -0.23489256938227393]]"
