rank,dataset,field,family,question,unique_values,score,top_values_json
884,260401_-OC-CAN,q2,other,Which of the following best describes your employment status?,2,4.6621,"[[""__MISSING__"", 313, 91, 0.29073482428115016, -0.09284525647255104], [""1"", 430, 194, 0.4511627906976744, 0.0675827099439732]]"
885,260300_ECHO,q23r6,brand_funnel_ad,,2,4.6575,"[[""1"", 281, 132, 0.4697508896797153, 0.11662189861968975], [""0"", 1285, 421, 0.3276264591439689, -0.02550253191605667]]"
886,260404_ADDO,q43r6,demographic_profile,,2,4.6488,"[[""0"", 474, 163, 0.3438818565400844, 0.0798700571300549], [""1"", 882, 195, 0.22108843537414966, -0.042923364035879846]]"
887,260404_ADDO,q8r6,demographic_profile,,11,4.6389,"[[""6"", 14, 8, 0.5714285714285714, 0.3074167720185419], [""4"", 6, 4, 0.6666666666666666, 0.40265486725663713], [""9"", 59, 21, 0.3559322033898305, 0.091920403979801], [""5"", 18, 7, 0.3888888888888889, 0.1248770894788594], [""__MISSING__"", 1000, 250, 0.25, -0.014011799410029502], [""8"", 57, 12, 0.21052631578947367, -0.05348548362055583]]"
888,260111_Delta-Water-Filtration,qHomeType,other,In what type of home do you live?,3,4.6302,"[[""2"", 102, 47, 0.46078431372549017, 0.20357810529976955], [""1"", 1223, 293, 0.23957481602616518, -0.01763139239955544], [""3"", 28, 8, 0.2857142857142857, 0.02850807728856508]]"
889,260206_OC-BH,q102,ownership_use_product,ow likely are you to recommend Catalyst to ?,8,4.6298,"[[""9"", 42, 18, 0.42857142857142855, 0.25528122524425667], [""10"", 54, 17, 0.3148148148148148, 0.14152461148764292], [""7"", 36, 10, 0.2777777777777778, 0.10448757445060589], [""__MISSING__"", 1944, 314, 0.16152263374485595, -0.011767569582315951], [""5"", 11, 1, 0.09090909090909091, -0.08238111241808099], [""8"", 61, 12, 0.19672131147540983, 0.023431108148237928]]"
890,260401_-OC-CAN,q41r14,demographic_profile,,7,4.6254,"[[""5"", 107, 55, 0.514018691588785, 0.1304386108350838], [""2"", 8, 0, 0.0, -0.3835800807537012], [""3"", 62, 16, 0.25806451612903225, -0.12551556462466895], [""9"", 13, 3, 0.23076923076923078, -0.15281084998447042], [""4"", 117, 39, 0.3333333333333333, -0.05024674742036789], [""__MISSING__"", 431, 170, 0.39443155452436196, 0.010851473770660758]]"
891,260401_-OC-CAN,q8r5,demographic_profile,,3,4.6189,"[[""1"", 202, 100, 0.49504950495049505, 0.11146942419679384], [""__MISSING__"", 454, 146, 0.32158590308370044, -0.06199417767000076], [""0"", 87, 39, 0.4482758620689655, 0.06469578131526432]]"
892,260206_OC-BH,q87r2,demographic_profile,,19,4.6044,"[[""40"", 14, 5, 0.35714285714285715, 0.18385265381568525], [""0"", 62, 6, 0.0967741935483871, -0.07651600977878481], [""30"", 28, 7, 0.25, 0.0767097966728281], [""20"", 40, 9, 0.225, 0.0517097966728281], [""10"", 26, 6, 0.23076923076923078, 0.05747902744205888], [""25"", 20, 3, 0.15, -0.02329020332717191]]"
893,260200_SBD,qcoe2r9,other,,18,4.5969,"[[""__MISSING__"", 765, 341, 0.44575163398692813, 0.0010248233134846907]]"
894,260401_-OC-CAN,q22r2,channel_supplier,,3,4.5966,"[[""1"", 141, 77, 0.5460992907801419, 0.16251921002644065], [""0"", 425, 147, 0.3458823529411765, -0.03769772781252473], [""__MISSING__"", 177, 61, 0.3446327683615819, -0.03894731239211929]]"
895,260401_-OC-CAN,q45r5,demographic_profile,,2,4.5912,"[[""1"", 93, 55, 0.5913978494623656, 0.20781776870866442], [""0"", 650, 230, 0.35384615384615387, -0.029733926907547337]]"
896,260206_OC-BH,q66r2,demographic_profile,,24,4.5798,"[[""50"", 33, 1, 0.030303030303030304, -0.1429871730241416], [""65"", 15, 0, 0.0, -0.1732902033271719], [""80"", 14, 0, 0.0, -0.1732902033271719], [""60"", 22, 1, 0.045454545454545456, -0.12783565787262646], [""40"", 30, 2, 0.06666666666666667, -0.10662353666050524], [""75"", 20, 1, 0.05, -0.1232902033271719]]"
897,260206_OC-BH,q11r5,ownership_use_product,,21,4.5772,"[[""5"", 35, 2, 0.05714285714285714, -0.11614734618431477], [""0"", 545, 81, 0.14862385321100918, -0.024666350116162722], [""2"", 20, 6, 0.3, 0.12670979667282808], [""1"", 30, 8, 0.26666666666666666, 0.09337646333949476], [""3"", 14, 4, 0.2857142857142857, 0.1124240823871138], [""__MISSING__"", 1471, 267, 0.18150917743031952, 0.00821897410314762]]"
898,260401_-OC-CAN,vos,other,Operating System,5,4.5749,"[[""12"", 130, 31, 0.23846153846153847, -0.14511854229216273], [""4"", 370, 166, 0.4486486486486487, 0.06506856789494747], [""14"", 205, 72, 0.35121951219512193, -0.03236056855857927], [""13"", 33, 14, 0.42424242424242425, 0.04066234348872305], [""15"", 5, 2, 0.4, 0.01641991924629882]]"
899,260300_ECHO,q14r2,channel_supplier,,2,4.5731,"[[""0"", 730, 300, 0.410958904109589, 0.057829913049563475], [""1"", 836, 253, 0.3026315789473684, -0.050497412112657125]]"
900,260111_Delta-Water-Filtration,q23r16,brand_funnel_ad,,3,4.5643,"[[""1"", 438, 76, 0.1735159817351598, -0.08369022669056081], [""0"", 864, 258, 0.2986111111111111, 0.04140490268539049], [""__MISSING__"", 51, 14, 0.27450980392156865, 0.017303595495848034]]"
901,260401_-OC-CAN,q28r10,brand_funnel_ad,,2,4.545,"[[""1"", 39, 2, 0.05128205128205128, -0.33229802947164994], [""0"", 704, 283, 0.40198863636363635, 0.01840855560993515]]"
902,260200_SBD,q25_Lr17,brand_funnel_ad,"How credible would it feel to you for [pipe: BRAND2RATE] to compete seriously in the Flooring installation hand or power tools (Wet Tile Saws, Nailers, and Plank or Tile Cutters) category?",6,4.5443,"[[""__MISSING__"", 192, 108, 0.5625, 0.11777318932655656], [""4"", 197, 73, 0.37055837563451777, -0.07416843503892567], [""3"", 45, 18, 0.4, -0.04472681067344342], [""2"", 11, 4, 0.36363636363636365, -0.0810904470370798], [""5"", 339, 147, 0.4336283185840708, -0.011098492089372636]]"
903,260111_Delta-Water-Filtration,q27r2,other,,3,4.5416,"[[""1"", 369, 65, 0.17615176151761516, -0.08105444690810545], [""__MISSING__"", 833, 252, 0.3025210084033613, 0.04531479997764071], [""0"", 151, 31, 0.2052980132450331, -0.05190819518068751]]"
904,260111_Delta-Water-Filtration,q30,switching_loyalty,What is the main source of water for your home?,7,4.5351,"[[""2"", 215, 75, 0.3488372093023256, 0.09163100087660497], [""1"", 981, 226, 0.23037716615698267, -0.026829042268737946], [""5"", 7, 4, 0.5714285714285714, 0.3142223630028508], [""3"", 94, 28, 0.2978723404255319, 0.040666131999811284], [""4"", 53, 13, 0.24528301886792453, -0.011923189557796088]]"
905,251101_THD-CX,bhf,fielding_technical,Captured variable,49,4.5336,"[[""36"", 12, 4, 0.3333333333333333, 0.2713910761154855], [""34"", 16, 0, 0.0, -0.06194225721784777], [""39"", 15, 0, 0.0, -0.06194225721784777], [""38"", 15, 0, 0.0, -0.06194225721784777], [""40"", 14, 0, 0.0, -0.06194225721784777], [""42"", 12, 0, 0.0, -0.06194225721784777]]"
906,260401_-OC-CAN,q45r6,demographic_profile,,2,4.5204,"[[""1"", 104, 60, 0.5769230769230769, 0.19334299616937567], [""0"", 639, 225, 0.352112676056338, -0.0314674046973632]]"
907,260206_OC-BH,q95,demographic_profile,Did you consider any other brands?,4,4.5184,"[[""1"", 206, 62, 0.30097087378640774, 0.12768067045923584], [""__MISSING__"", 1823, 285, 0.15633571036752605, -0.01695449295964585], [""2"", 117, 27, 0.23076923076923078, 0.05747902744205888], [""3"", 18, 1, 0.05555555555555555, -0.11773464777161635]]"
908,260401_-OC-CAN,q8r8,demographic_profile,,3,4.5065,"[[""__MISSING__"", 454, 146, 0.32158590308370044, -0.06199417767000076], [""1"", 143, 70, 0.48951048951048953, 0.10593040875678833], [""0"", 146, 69, 0.4726027397260274, 0.0890226589723262]]"
909,260401_-OC-CAN,q8r3,demographic_profile,,3,4.5048,"[[""1"", 212, 103, 0.4858490566037736, 0.10226897585007239], [""__MISSING__"", 454, 146, 0.32158590308370044, -0.06199417767000076], [""0"", 77, 36, 0.4675324675324675, 0.08395238677876632]]"
910,260401_-OC-CAN,q16,brand_funnel_ad,Did you hire a professional to install your new outdoor [pipe: q14] project or did you do it yourself?,5,4.5019,"[[""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""1"", 162, 48, 0.2962962962962963, -0.08728378445740492], [""4"", 44, 10, 0.22727272727272727, -0.15630735348097394], [""2"", 86, 28, 0.32558139534883723, -0.05799868540486397], [""3"", 70, 26, 0.37142857142857144, -0.012151509325129761]]"
911,260401_-OC-CAN,q8r9,demographic_profile,,2,4.4859,"[[""0"", 289, 139, 0.4809688581314879, 0.09738877737778667], [""__MISSING__"", 454, 146, 0.32158590308370044, -0.06199417767000076]]"
912,260401_-OC-CAN,q8r10,demographic_profile,,2,4.4859,"[[""0"", 289, 139, 0.4809688581314879, 0.09738877737778667], [""__MISSING__"", 454, 146, 0.32158590308370044, -0.06199417767000076]]"
913,260403_Masterlock-Conjoint,SUPNAME,fielding_technical,Captured variable,25,4.475,"[[""Attapoll"", 229, 60, 0.26200873362445415, 0.03711790393013101], [""TapResearch"", 28, 9, 0.32142857142857145, 0.09653774173424831], [""DISQO"", 10, 1, 0.1, -0.12489082969432314], [""Prime Insights Group LLC - API"", 9, 1, 0.1111111111111111, -0.11377971858321204], [""Qmee"", 123, 25, 0.2032520325203252, -0.021638797173997942], [""PrimeInsightsGroupLLC-API"", 458, 98, 0.21397379912663755, -0.010917030567685587]]"
914,260401_-OC-CAN,q14r7,channel_supplier,,3,4.4694,"[[""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""0"", 356, 112, 0.3146067415730337, -0.0689733391806675], [""1"", 6, 0, 0.0, -0.3835800807537012]]"
915,260111_Delta-Water-Filtration,q20r13,brand_funnel_ad,,10,4.4615,"[[""1"", 39, 4, 0.10256410256410256, -0.15464210586161806], [""7"", 329, 100, 0.303951367781155, 0.046745159355434385], [""__MISSING__"", 322, 69, 0.21428571428571427, -0.04292049414000634], [""6"", 313, 94, 0.3003194888178914, 0.04311328039217077], [""3"", 31, 4, 0.12903225806451613, -0.1281739503612045], [""9"", 13, 1, 0.07692307692307693, -0.1802831315026437]]"
916,260111_Delta-Water-Filtration,q26r2,other,,2,4.4506,"[[""1"", 520, 96, 0.18461538461538463, -0.07259082381033599], [""0"", 833, 252, 0.3025210084033613, 0.04531479997764071]]"
917,260111_Delta-Water-Filtration,q27r1,other,,3,4.4501,"[[""1"", 463, 87, 0.1879049676025918, -0.06930124082312883], [""__MISSING__"", 638, 201, 0.31504702194357365, 0.05784081351785303], [""0"", 252, 60, 0.23809523809523808, -0.019110970330482535]]"
918,260401_-OC-CAN,q38r5,demographic_profile,,3,4.4464,"[[""0"", 269, 77, 0.2862453531598513, -0.09733472759384992], [""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""1"", 93, 35, 0.3763440860215054, -0.007235994732195827]]"
919,260206_OC-BH,q115r7,ownership_use_product,,3,4.4412,"[[""1"", 13, 9, 0.6923076923076923, 0.5190174889805204], [""0"", 408, 52, 0.12745098039215685, -0.04583922293501505], [""__MISSING__"", 1743, 314, 0.18014916810097534, 0.006858964773803433]]"
920,260404_ADDO,q7r8,demographic_profile,,6,4.4354,"[[""4"", 68, 32, 0.47058823529411764, 0.20657643588408814], [""5"", 87, 31, 0.3563218390804598, 0.09231003967043028], [""__MISSING__"", 1162, 287, 0.2469879518072289, -0.017023847602800596], [""3"", 31, 6, 0.1935483870967742, -0.07046341231325531]]"
921,260200_SBD,q42,demographic_profile,"Which additional education, experience or certifications have you completed?",8,4.4345,"[[""7"", 21, 15, 0.7142857142857143, 0.26955890361227086], [""5"", 148, 54, 0.36486486486486486, -0.07986194580857858], [""8"", 114, 61, 0.5350877192982456, 0.09036090862480217], [""6"", 117, 43, 0.36752136752136755, -0.07720544315207589], [""3"", 145, 70, 0.4827586206896552, 0.03803181001621175], [""4"", 65, 31, 0.47692307692307695, 0.03219626624963351]]"
922,260404_ADDO,q4r4,demographic_profile,,23,4.4312,"[[""9"", 8, 5, 0.625, 0.3609882005899705], [""15"", 10, 0, 0.0, -0.2640117994100295], [""3"", 65, 22, 0.3384615384615385, 0.07444973905150898], [""1"", 96, 31, 0.3229166666666667, 0.05890486725663718], [""0"", 38, 8, 0.21052631578947367, -0.05348548362055583], [""10"", 29, 6, 0.20689655172413793, -0.057115247685891574]]"
923,260404_ADDO,q7r6,demographic_profile,,6,4.4281,"[[""2"", 10, 8, 0.8, 0.5359882005899705], [""4"", 105, 38, 0.3619047619047619, 0.0978929624947324], [""__MISSING__"", 1000, 250, 0.25, -0.014011799410029502], [""5"", 182, 44, 0.24175824175824176, -0.022253557651787742], [""3"", 55, 16, 0.2909090909090909, 0.026897291499061393]]"
924,260200_SBD,q27_Lr9,other,"Thinking about what [pipe: BRAND2RATE] stands for today, which best describes how the Robotic Vacuums category fits?",5,4.4211,"[[""1"", 20, 16, 0.8, 0.3552731893265566], [""2"", 15, 10, 0.6666666666666666, 0.2219398559932232], [""3"", 5, 4, 0.8, 0.3552731893265566], [""__MISSING__"", 746, 319, 0.42761394101876676, -0.017112869654676677]]"
925,260300_ECHO,q23_2026_Lr1r15,brand_funnel_ad,,8,4.4167,"[[""9"", 18, 1, 0.05555555555555555, -0.29757343550447], [""10"", 31, 5, 0.16129032258064516, -0.1918386684793804], [""8"", 27, 5, 0.18518518518518517, -0.16794380587484037], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103], [""7"", 9, 3, 0.3333333333333333, -0.01979565772669223]]"
926,260401_-OC-CAN,q14r2,channel_supplier,,3,4.4064,"[[""1"", 250, 71, 0.284, -0.09958008075370123], [""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""0"", 112, 41, 0.36607142857142855, -0.017508652182272655]]"
927,260206_OC-BH,q64r2,demographic_profile,,3,4.4033,"[[""0"", 21, 11, 0.5238095238095238, 0.3505193204823519], [""1"", 297, 29, 0.09764309764309764, -0.07564710568407426], [""__MISSING__"", 1846, 335, 0.18147345612134344, 0.008183252794171536]]"
928,260206_OC-BH,q98r2,demographic_profile,,3,4.4027,"[[""1"", 100, 37, 0.37, 0.1967097966728281], [""__MISSING__"", 1784, 283, 0.1586322869955157, -0.014657916331656196], [""0"", 280, 55, 0.19642857142857142, 0.02313836810139952]]"
929,260200_SBD,q22,channel_supplier,Which would be the NEXT WORST FIT for [pipe: BRAND2RATE]?,17,4.3979,"[[""14"", 52, 31, 0.5961538461538461, 0.1514270354804027], [""8"", 44, 25, 0.5681818181818182, 0.12345500750837479], [""2"", 150, 57, 0.38, -0.06472681067344344], [""12"", 52, 18, 0.34615384615384615, -0.0985729645195973], [""13"", 58, 31, 0.5344827586206896, 0.08975594794724617], [""1"", 138, 54, 0.391304347826087, -0.05342246284735647]]"
930,260401_-OC-CAN,q26r7,other,,6,4.3972,"[[""4"", 218, 105, 0.481651376146789, 0.09807129539308779], [""1"", 21, 2, 0.09523809523809523, -0.28834198551560597], [""__MISSING__"", 177, 61, 0.3446327683615819, -0.03894731239211929], [""3"", 93, 32, 0.34408602150537637, -0.03949405924832483], [""2"", 16, 5, 0.3125, -0.0710800807537012], [""5"", 218, 80, 0.3669724770642202, -0.016607603689481]]"
931,260403_Masterlock-Conjoint,outroR1_RD_Reviewr3,other,,24,4.3828,"[[""19"", 11, 0, 0.0, -0.22489082969432314], [""2"", 32, 3, 0.09375, -0.13114082969432314], [""20"", 7, 0, 0.0, -0.22489082969432314], [""11"", 30, 10, 0.3333333333333333, 0.10844250363901017], [""8"", 35, 5, 0.14285714285714285, -0.08203368683718029], [""9"", 33, 10, 0.30303030303030304, 0.0781394733359799]]"
932,260300_ECHO,q31_2026r6,switching_loyalty,,3,4.3812,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""1"", 329, 142, 0.4316109422492401, 0.07848195118921458], [""0"", 997, 350, 0.3510531594784353, -0.0020758315815902484]]"
933,260206_OC-BH,q93r7,demographic_profile,,13,4.3792,"[[""__MISSING__"", 2132, 364, 0.17073170731707318, -0.002558496010098721]]"
934,260300_ECHO,q24_2026_Lr1,brand_funnel_ad,How likely are you to recommend Craftsman to ?,9,4.3773,"[[""9"", 21, 1, 0.047619047619047616, -0.3055099434409779], [""10"", 31, 5, 0.16129032258064516, -0.1918386684793804], [""8"", 20, 5, 0.25, -0.10312899106002554], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103], [""7"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
935,260401_-OC-CAN,q13r6,ownership_use_product,,3,4.3722,"[[""0"", 215, 60, 0.27906976744186046, -0.10451031331184074], [""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""1"", 147, 52, 0.35374149659863946, -0.029838584155061743]]"
936,260300_ECHO,q23_2026_Lr7r1,brand_funnel_ad,,10,4.3714,"[[""6"", 35, 6, 0.17142857142857143, -0.1817004196314541], [""7"", 56, 13, 0.23214285714285715, -0.12098613391716839], [""8"", 94, 25, 0.26595744680851063, -0.08717154425151491], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""9"", 53, 22, 0.41509433962264153, 0.061965348562615985], [""5"", 19, 5, 0.2631578947368421, -0.08997109632318345]]"
937,260111_Delta-Water-Filtration,q24r13,brand_funnel_ad,,8,4.3687,"[[""6"", 85, 36, 0.4235294117647059, 0.16632320333898526], [""7"", 143, 23, 0.16083916083916083, -0.09636704758655978], [""4"", 18, 7, 0.3888888888888889, 0.13168268046316828], [""5"", 57, 14, 0.24561403508771928, -0.011592173338001333], [""__MISSING__"", 1041, 266, 0.25552353506243997, -0.0016826733632806512]]"
938,260404_ADDO,q13,ownership_use_product,"Thinking about which convenience store / gas station to shop at, which is most important to you?",6,4.3572,"[[""1"", 104, 10, 0.09615384615384616, -0.16785795325618336], [""4"", 60, 21, 0.35, 0.08598820058997048], [""3"", 12, 5, 0.4166666666666667, 0.15265486725663718], [""2"", 20, 3, 0.15, -0.11401179941002951], [""__MISSING__"", 1156, 319, 0.2759515570934256, 0.011939757683396113]]"
939,260206_OC-BH,q10r4,ownership_use_product,,27,4.3551,"[[""5"", 40, 14, 0.35, 0.17670979667282807], [""10"", 19, 7, 0.3684210526315789, 0.19513084930440702], [""4"", 29, 9, 0.3103448275862069, 0.137054624259035], [""20"", 14, 4, 0.2857142857142857, 0.1124240823871138], [""6"", 15, 4, 0.26666666666666666, 0.09337646333949476], [""0"", 172, 26, 0.1511627906976744, -0.022127412629497495]]"
940,260401_-OC-CAN,q36r10,matrix_attributes,,3,4.3546,"[[""0"", 249, 71, 0.285140562248996, -0.09843951850470523], [""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""1"", 113, 41, 0.36283185840707965, -0.020748222346621548]]"
941,260403_Masterlock-Conjoint,q3r3,demographic_profile,,3,4.3529,"[[""3"", 425, 127, 0.2988235294117647, 0.07393269971744157], [""2"", 411, 65, 0.15815085158150852, -0.06673997811281462], [""1"", 80, 14, 0.175, -0.04989082969432315]]"
942,260300_ECHO,q21b_2026r13,channel_supplier,,2,4.3339,"[[""1"", 207, 101, 0.48792270531400966, 0.13479371425398412], [""0"", 1359, 452, 0.33259749816041206, -0.02053149289961348]]"
943,260401_-OC-CAN,q26r6,other,,6,4.3296,"[[""4"", 232, 113, 0.4870689655172414, 0.10348888476354018], [""3"", 120, 35, 0.2916666666666667, -0.09191341408703452], [""__MISSING__"", 177, 61, 0.3446327683615819, -0.03894731239211929], [""5"", 192, 67, 0.3489583333333333, -0.03462174742036789], [""2"", 14, 7, 0.5, 0.1164199192462988], [""1"", 8, 2, 0.25, -0.1335800807537012]]"
944,260206_OC-BH,q46r5,demographic_profile,,3,4.3281,"[[""1"", 41, 19, 0.4634146341463415, 0.2901244308191696], [""0"", 197, 21, 0.1065989847715736, -0.0666912185555983], [""__MISSING__"", 1926, 335, 0.17393561786085152, 0.0006454145336796113]]"
945,260401_-OC-CAN,q38r14,demographic_profile,,3,4.3279,"[[""0"", 279, 81, 0.2903225806451613, -0.09325750010853989], [""__MISSING__"", 381, 173, 0.4540682414698163, 0.07048816071611508], [""1"", 83, 31, 0.37349397590361444, -0.010086104850086763]]"
946,260300_ECHO,q15_2026r11,other,,9,4.3197,"[[""10"", 536, 158, 0.2947761194029851, -0.05835287165704045], [""9"", 396, 163, 0.4116161616161616, 0.05848717055613606], [""5"", 38, 17, 0.4473684210526316, 0.09423942999260604], [""6"", 60, 24, 0.4, 0.04687100893997448], [""7"", 163, 62, 0.3803680981595092, 0.027239107099483684], [""8"", 363, 124, 0.3415977961432507, -0.011531194916774845]]"
947,260404_ADDO,q8r2,demographic_profile,,12,4.3181,"[[""10"", 202, 77, 0.3811881188118812, 0.11717631940185169], [""8"", 118, 21, 0.17796610169491525, -0.08604569771511425], [""6"", 49, 10, 0.20408163265306123, -0.05993016675696827], [""__MISSING__"", 727, 184, 0.2530949105914718, -0.01091688881855768], [""4"", 18, 6, 0.3333333333333333, 0.06932153392330381], [""9"", 95, 23, 0.24210526315789474, -0.021906536252134762]]"
948,260300_ECHO,q16_2026r6,brand_funnel_ad,,2,4.3118,"[[""1"", 352, 90, 0.2556818181818182, -0.09744717287820737], [""0"", 1214, 463, 0.38138385502471167, 0.028254863964686128]]"
949,260111_Delta-Water-Filtration,q24r4,brand_funnel_ad,,8,4.3108,"[[""7"", 261, 42, 0.16091954022988506, -0.09628666819583556], [""__MISSING__"", 908, 261, 0.28744493392070486, 0.030238725494984242], [""4"", 13, 1, 0.07692307692307693, -0.1802831315026437], [""6"", 103, 26, 0.2524271844660194, -0.004779023959701201], [""5"", 63, 16, 0.25396825396825395, -0.003237954457466663]]"
950,260206_OC-BH,q145,channel_supplier,Which of the following ranges includes your home value?,9,4.3084,"[[""6"", 276, 68, 0.2463768115942029, 0.073086608267031], [""4"", 149, 13, 0.087248322147651, -0.0860418811795209], [""5"", 322, 72, 0.2236024844720497, 0.05031228114487779], [""2"", 136, 15, 0.11029411764705882, -0.06299608568011308], [""__MISSING__"", 902, 141, 0.15631929046563192, -0.016970912861539983], [""7"", 61, 13, 0.21311475409836064, 0.03982455077118874]]"
951,260206_OC-BH,q103_Lr3r2,ownership_use_product,,6,4.3068,"[[""4"", 62, 25, 0.4032258064516129, 0.22993560312444097], [""3"", 25, 8, 0.32, 0.1467097966728281], [""__MISSING__"", 1995, 325, 0.16290726817042606, -0.010382935156745848], [""5"", 78, 17, 0.21794871794871795, 0.04465851462154605]]"
952,260206_OC-BH,q101r6,ownership_use_product,,6,4.3052,"[[""5"", 98, 34, 0.3469387755102041, 0.17364857218303217], [""3"", 29, 9, 0.3103448275862069, 0.137054624259035], [""__MISSING__"", 1944, 314, 0.16152263374485595, -0.011767569582315951], [""4"", 83, 17, 0.20481927710843373, 0.031529073781261824]]"
953,260200_SBD,COMP_CLASSIFY,quota_classification,COMP_CLASSIFY,5,4.3045,"[[""3"", 41, 27, 0.6585365853658537, 0.21380977469241025], [""4"", 31, 20, 0.6451612903225806, 0.2004344796491372], [""2"", 460, 183, 0.3978260869565217, -0.04690072371692172], [""1"", 229, 108, 0.47161572052401746, 0.026888909850574017], [""5"", 26, 12, 0.46153846153846156, 0.016811650865018124]]"
954,260206_OC-BH,age,demographic_profile,"this is a dummy question that will hold age breaks"" for the quotas that should be defined by the PM; it CAN be edited and lines can be added to meet survey objectives.",4,4.3004,"[[""3"", 589, 69, 0.11714770797962648, -0.056142495347545424], [""4"", 158, 15, 0.0949367088607595, -0.0783534944664124], [""1"", 787, 164, 0.20838627700127066, 0.035096073674098754], [""2"", 630, 127, 0.2015873015873016, 0.02829709826012969]]"
955,260206_OC-BH,q82r15,demographic_profile,,6,4.2931,"[[""5"", 97, 29, 0.29896907216494845, 0.12567886883777654], [""3"", 95, 26, 0.2736842105263158, 0.1003940071991439], [""4"", 125, 32, 0.256, 0.0827097966728281], [""__MISSING__"", 1784, 283, 0.1586322869955157, -0.014657916331656196], [""1"", 30, 2, 0.06666666666666667, -0.10662353666050524], [""2"", 33, 3, 0.09090909090909091, -0.08238111241808099]]"
956,260300_ECHO,q11br11c1,ownership_use_product,,2,4.279,"[[""1"", 429, 188, 0.4382284382284382, 0.08509944716841267], [""0"", 1137, 365, 0.3210202286719437, -0.03210876238808186]]"
957,260300_ECHO,q23_2026_Lr1r12,brand_funnel_ad,,9,4.2762,"[[""9"", 20, 3, 0.15, -0.20312899106002555], [""8"", 22, 4, 0.18181818181818182, -0.17131080924184372], [""10"", 22, 4, 0.18181818181818182, -0.17131080924184372], [""7"", 10, 1, 0.1, -0.2531289910600255], [""6"", 7, 1, 0.14285714285714285, -0.2102718482028827], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103]]"
958,260206_OC-BH,q103_Lr3r9,ownership_use_product,,7,4.2713,"[[""3"", 35, 16, 0.45714285714285713, 0.28385265381568525], [""5"", 76, 22, 0.2894736842105263, 0.11618348088335442], [""__MISSING__"", 1995, 325, 0.16290726817042606, -0.010382935156745848], [""4"", 46, 9, 0.1956521739130435, 0.022361970585871582]]"
959,251101_THD-CX,q6,demographic_profile,How long have you been in your trade?,5,4.2611,"[[""3"", 523, 68, 0.13001912045889102, 0.06807686324104326], [""5"", 533, 6, 0.01125703564727955, -0.05068522157056822], [""2"", 233, 6, 0.02575107296137339, -0.03619118425647438], [""1"", 40, 0, 0.0, -0.06194225721784777], [""4"", 576, 38, 0.06597222222222222, 0.004029965004374456]]"
960,260206_OC-BH,q10r2,ownership_use_product,,36,4.2585,"[[""5"", 49, 15, 0.30612244897959184, 0.13283224565241994], [""7"", 16, 5, 0.3125, 0.1392097966728281], [""25"", 10, 0, 0.0, -0.1732902033271719], [""3"", 51, 12, 0.23529411764705882, 0.062003914319886916], [""4"", 51, 6, 0.11764705882352941, -0.055643144503642494], [""8"", 12, 1, 0.08333333333333333, -0.08995686999383858]]"
961,251205_TFG-Contractor-Index-Q1,qc6LangAssessNumWords,other,,29,4.2579,"[[""11"", 52, 11, 0.21153846153846154, 0.10106010162957771], [""9"", 57, 11, 0.19298245614035087, 0.08250409623146704], [""3"", 41, 1, 0.024390243902439025, -0.08608811600644481], [""10"", 55, 10, 0.18181818181818182, 0.071339821909298], [""4"", 52, 2, 0.038461538461538464, -0.07201682144734536], [""6"", 65, 3, 0.046153846153846156, -0.06432451375503767]]"
962,260300_ECHO,q11br11c2,ownership_use_product,,2,4.2536,"[[""1"", 723, 296, 0.4094052558782849, 0.05627626481825937], [""0"", 843, 257, 0.30486358244365364, -0.04826540861637191]]"
963,260111_Delta-Water-Filtration,q10r4,ownership_use_product,,6,4.2434,"[[""1"", 149, 58, 0.38926174496644295, 0.13205553654072233], [""0"", 1171, 279, 0.23825789923142612, -0.018948309194294494], [""2"", 30, 9, 0.3, 0.04279379157427937]]"
964,260300_ECHO,q21r14,channel_supplier,,4,4.2424,"[[""2"", 20, 15, 0.75, 0.39687100893997446], [""1"", 17, 9, 0.5294117647058824, 0.17628277364585682], [""3"", 13, 7, 0.5384615384615384, 0.1853325474015129], [""__MISSING__"", 1516, 522, 0.34432717678100266, -0.00880181427902288]]"
965,260300_ECHO,q23_2026_Lr1r10,brand_funnel_ad,,8,4.2423,"[[""8"", 17, 1, 0.058823529411764705, -0.2943054616482608], [""10"", 34, 5, 0.14705882352941177, -0.20607016753061377], [""9"", 24, 5, 0.20833333333333334, -0.1447956577266922], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103], [""7"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
