rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
155,q23_2026_Lr4r14,brand_funnel,,9,8.6108,0.1869,"[[""9"", 100, 54, 0.54, 0.1868710089399745], [""8"", 93, 48, 0.5161290322580645, 0.16300004119803896], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""7"", 41, 19, 0.4634146341463415, 0.11028564308631594], [""6"", 16, 8, 0.5, 0.14687100893997446]]"
156,q24_2026_Lr4,brand_funnel,How likely are you to recommend EGO to ?,10,8.5035,0.2069,"[[""8"", 100, 56, 0.56, 0.2068710089399745], [""9"", 95, 48, 0.5052631578947369, 0.15213416683471132], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""10"", 94, 37, 0.39361702127659576, 0.040488030216570214], [""6"", 15, 5, 0.3333333333333333, -0.01979565772669223]]"
157,q23_2026_Lr4r12,brand_funnel,,10,8.4473,0.1942,"[[""9"", 95, 52, 0.5473684210526316, 0.19423942999260607], [""10"", 89, 46, 0.5168539325842697, 0.16372494152424416], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""7"", 51, 23, 0.45098039215686275, 0.09785140109683721], [""5"", 12, 2, 0.16666666666666666, -0.18646232439335889]]"
158,vlist,fielding_technical,Participant source,2,8.3334,0.0994,"[[""25"", 548, 248, 0.45255474452554745, 0.0994257534655219], [""1"", 1018, 305, 0.29960707269155207, -0.053521918368473476]]"
159,list,fielding_technical,Captured variable,2,8.3334,0.0994,"[[""14"", 548, 248, 0.45255474452554745, 0.0994257534655219], [""139"", 1018, 305, 0.29960707269155207, -0.053521918368473476]]"
160,q11ar5c2,equipment_ownership_use,,2,8.3259,0.0847,"[[""1"", 667, 292, 0.43778110944527737, 0.08465211838525183], [""0"", 899, 261, 0.2903225806451613, -0.06280641041486423]]"
161,q24r3,other,,2,8.3005,0.0773,"[[""1"", 736, 203, 0.2758152173913043, -0.07731377366872122], [""0"", 830, 350, 0.42168674698795183, 0.06855775592792629]]"
162,q23_2026_Lr4r4,brand_funnel,,10,8.2903,0.1795,"[[""9"", 92, 49, 0.532608695652174, 0.1794797045921484], [""10"", 77, 41, 0.5324675324675324, 0.17933854140750688], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""6"", 20, 10, 0.5, 0.14687100893997446], [""5"", 13, 3, 0.23076923076923078, -0.12235976029079476]]"
163,q11ar9c4,equipment_ownership_use,,2,8.2843,0.1818,"[[""1"", 216, 37, 0.1712962962962963, -0.18183269476372924], [""0"", 1350, 516, 0.38222222222222224, 0.029093231162196698]]"
164,q31_2026r10,switching_loyalty,,3,8.2759,0.099,"[[""0"", 953, 392, 0.41133263378803775, 0.058203642728012206], [""1"", 373, 100, 0.2680965147453083, -0.08503247631471722], [""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889]]"
165,q21r13,channel_supplier,,4,8.1451,0.3776,"[[""2"", 26, 19, 0.7307692307692307, 0.3776402397092052], [""3"", 34, 21, 0.6176470588235294, 0.2645180677635039], [""1"", 31, 18, 0.5806451612903226, 0.22751617023029708], [""__MISSING__"", 1475, 495, 0.33559322033898303, -0.01753577072104251]]"
166,q15_2026r5,other,,8,8.1342,0.1334,"[[""10"", 690, 198, 0.28695652173913044, -0.0661724693208951], [""8"", 306, 133, 0.434640522875817, 0.08151153181579146], [""7"", 151, 65, 0.4304635761589404, 0.07733458509891483], [""6"", 37, 18, 0.4864864864864865, 0.13335749542646097], [""5"", 24, 7, 0.2916666666666667, -0.06146232439335886]]"
167,q23_2026_Lr8r14,brand_funnel,,9,8.0567,0.3531,"[[""10"", 105, 18, 0.17142857142857143, -0.1817004196314541], [""6"", 12, 0, 0.0, -0.35312899106002554], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""9"", 60, 14, 0.23333333333333334, -0.1197956577266922], [""8"", 72, 19, 0.2638888888888889, -0.08924010217113665]]"
168,q23_2026_Lr8r10,brand_funnel,,7,7.8993,0.3531,"[[""10"", 104, 18, 0.17307692307692307, -0.18005206798310247], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""5"", 9, 0, 0.0, -0.35312899106002554], [""8"", 67, 15, 0.22388059701492538, -0.12924839404510016], [""7"", 37, 8, 0.21621621621621623, -0.13691277484380932]]"
169,q23_2026_Lr8r1,brand_funnel,,11,7.8388,0.242,"[[""5"", 39, 5, 0.1282051282051282, -0.22492386285489735], [""10"", 55, 11, 0.2, -0.15312899106002553], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""7"", 49, 10, 0.20408163265306123, -0.14904735840696431], [""3"", 9, 1, 0.1111111111111111, -0.24201787994891444]]"
170,q23_2026_Lr4r10,brand_funnel,,9,7.7753,0.1853,"[[""10"", 97, 51, 0.5257731958762887, 0.17264420481626314], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""9"", 78, 37, 0.47435897435897434, 0.1212299832989488], [""8"", 101, 43, 0.42574257425742573, 0.07261358319740019], [""6"", 13, 7, 0.5384615384615384, 0.1853325474015129]]"
171,q23_2026_Lr4r8,brand_funnel,,10,7.7594,0.1934,"[[""9"", 86, 47, 0.5465116279069767, 0.19338263684695117], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""7"", 45, 23, 0.5111111111111111, 0.15798212005108553], [""10"", 107, 48, 0.4485981308411215, 0.09546913978109595], [""8"", 92, 37, 0.40217391304347827, 0.04904492198345273]]"
172,POSSIBLEBRANDSr5,brand_funnel,,3,7.7086,0.1388,"[[""1"", 412, 193, 0.4684466019417476, 0.11531761088172204], [""0"", 1126, 354, 0.31438721136767317, -0.038741779692352374], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
173,q23_2026_Lr8r9,brand_funnel,,9,7.6863,0.1787,"[[""10"", 86, 15, 0.1744186046511628, -0.17871038640886275], [""8"", 74, 14, 0.1891891891891892, -0.16393980187083634], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""7"", 43, 8, 0.18604651162790697, -0.16708247943211857], [""6"", 24, 6, 0.25, -0.10312899106002554]]"
174,q23_2026_Lr4r3,brand_funnel,,9,7.6235,0.1677,"[[""9"", 96, 50, 0.5208333333333334, 0.16770434227330783], [""8"", 84, 41, 0.4880952380952381, 0.13496624703521254], [""10"", 87, 42, 0.4827586206896552, 0.12962962962962965], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""7"", 54, 17, 0.3148148148148148, -0.03831417624521072]]"
175,q23_2026_Lr8r12,brand_funnel,,10,7.5989,0.2121,"[[""10"", 78, 11, 0.14102564102564102, -0.21210335003438452], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""8"", 77, 20, 0.2597402597402597, -0.09338873131976583], [""9"", 65, 17, 0.26153846153846155, -0.09159052952156399], [""5"", 20, 4, 0.2, -0.15312899106002553]]"
176,q24_2026_Lr8,brand_funnel,How likely are you to recommend Stihl to ?,10,7.595,0.1752,"[[""10"", 118, 21, 0.17796610169491525, -0.1751628893651103], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""9"", 61, 15, 0.2459016393442623, -0.10722735171576325], [""8"", 67, 17, 0.2537313432835821, -0.09939764777644344], [""7"", 35, 10, 0.2857142857142857, -0.06741470534573984]]"
177,q19r5,other,,3,7.5867,0.1278,"[[""0"", 289, 139, 0.4809688581314879, 0.12783986707146233], [""__MISSING__"", 1154, 360, 0.3119584055459272, -0.04117058551409836], [""1"", 123, 54, 0.43902439024390244, 0.0858953991838769]]"
178,q21c_2026,channel_supplier,Who is your preferred supplier or store for outdoor power equipment?,14,7.5797,0.2281,"[[""10"", 225, 105, 0.4666666666666667, 0.11353767560664113], [""8"", 34, 19, 0.5588235294117647, 0.20569453835173918], [""1"", 549, 172, 0.3132969034608379, -0.03983208759918766], [""12"", 59, 15, 0.2542372881355932, -0.09889170292443233], [""9"", 8, 1, 0.125, -0.22812899106002554]]"
179,q23_2026_Lr8r11,brand_funnel,,9,7.5693,0.1865,"[[""9"", 72, 12, 0.16666666666666666, -0.18646232439335889], [""10"", 103, 23, 0.22330097087378642, -0.12982802018623912], [""8"", 76, 16, 0.21052631578947367, -0.14260267527055187], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""6"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
180,q18r2,brand_funnel,,6,7.5222,0.1732,"[[""2"", 276, 68, 0.2463768115942029, -0.10675217946582263], [""3"", 95, 50, 0.5263157894736842, 0.17318679841365864], [""4"", 199, 83, 0.41708542713567837, 0.06395643607565282], [""5"", 459, 175, 0.3812636165577342, 0.028134625497708676], [""6"", 471, 157, 0.3333333333333333, -0.01979565772669223]]"
181,q28r14,ad_recall,,3,7.4761,0.1722,"[[""0"", 217, 114, 0.5253456221198156, 0.17221663105979007], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253], [""1"", 88, 28, 0.3181818181818182, -0.034947172878207367]]"
182,q23_2026_Lr8r4,brand_funnel,,10,7.4673,0.2136,"[[""10"", 80, 15, 0.1875, -0.16562899106002554], [""7"", 43, 6, 0.13953488372093023, -0.2135941073390953], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""8"", 74, 18, 0.24324324324324326, -0.10988574781678229], [""6"", 22, 5, 0.22727272727272727, -0.12585626378729828]]"
183,q23_2026_Lr8r2,brand_funnel,,10,7.4569,0.2281,"[[""10"", 72, 15, 0.20833333333333334, -0.1447956577266922], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""5"", 24, 3, 0.125, -0.22812899106002554], [""8"", 65, 15, 0.23076923076923078, -0.12235976029079476], [""6"", 29, 5, 0.1724137931034483, -0.18071519795657726]]"
184,q23_2026_Lr8r3,brand_funnel,,7,7.4441,0.1757,"[[""10"", 124, 22, 0.1774193548387097, -0.17570963622131586], [""9"", 64, 13, 0.203125, -0.15000399106002554], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""7"", 25, 5, 0.2, -0.15312899106002553], [""8"", 71, 21, 0.29577464788732394, -0.057354343172701605]]"
185,q15_2026r9,other,,10,7.4331,0.1564,"[[""5"", 122, 24, 0.19672131147540983, -0.1564076795846157], [""9"", 285, 123, 0.43157894736842106, 0.07844995630839552], [""6"", 143, 38, 0.26573426573426573, -0.08739472532575981], [""10"", 344, 136, 0.3953488372093023, 0.04221984614927676], [""4"", 32, 7, 0.21875, -0.13437899106002554]]"
186,q20r11,brand_funnel,,3,7.4091,0.0954,"[[""__MISSING__"", 930, 381, 0.4096774193548387, 0.05654842829481316], [""1"", 291, 75, 0.25773195876288657, -0.09539703229713897], [""0"", 345, 97, 0.2811594202898551, -0.07196957077017047]]"
187,q23_2026_Lr8r7,brand_funnel,,8,7.3624,0.2198,"[[""10"", 89, 16, 0.1797752808988764, -0.17335371016114914], [""9"", 83, 19, 0.2289156626506024, -0.12421332840942315], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""8"", 72, 17, 0.2361111111111111, -0.11701787994891444], [""6"", 15, 2, 0.13333333333333333, -0.2197956577266922]]"
188,q23_2026_Lr8r5,brand_funnel,,8,7.3027,0.1895,"[[""10"", 110, 18, 0.16363636363636364, -0.1894926274236619], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""9"", 79, 19, 0.24050632911392406, -0.11262266194610149], [""8"", 58, 15, 0.25862068965517243, -0.09450830140485311], [""7"", 37, 11, 0.2972972972972973, -0.05583169376272823]]"
189,q23_2026_Lr8r6,brand_funnel,,8,7.2669,0.1912,"[[""10"", 105, 17, 0.1619047619047619, -0.19122422915526363], [""8"", 69, 15, 0.21739130434782608, -0.13573768671219946], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""9"", 74, 20, 0.2702702702702703, -0.08285872078975526], [""7"", 43, 12, 0.27906976744186046, -0.07405922361816508]]"
190,q23_2026_Lr8r8,brand_funnel,,10,7.2409,0.1767,"[[""10"", 102, 18, 0.17647058823529413, -0.17665840282473141], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""8"", 77, 18, 0.23376623376623376, -0.11936275729379178], [""9"", 70, 18, 0.2571428571428571, -0.09598613391716843], [""6"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
191,q28r12,ad_recall,,3,7.2348,0.3612,"[[""1"", 35, 25, 0.7142857142857143, 0.36115672322568876], [""0"", 270, 117, 0.43333333333333335, 0.0802043422733078], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
192,q23_2026_Lr8r15,brand_funnel,,9,7.2229,0.1696,"[[""10"", 109, 20, 0.1834862385321101, -0.16964275252791544], [""9"", 77, 16, 0.2077922077922078, -0.14533678326781774], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""8"", 61, 15, 0.2459016393442623, -0.10722735171576325], [""7"", 46, 13, 0.2826086956521739, -0.07052029540785165]]"
193,q15_2026r13,other,,9,7.2145,0.1469,"[[""10"", 590, 172, 0.29152542372881357, -0.06160356733121197], [""8"", 336, 145, 0.43154761904761907, 0.07841862798759353], [""6"", 52, 26, 0.5, 0.14687100893997446], [""5"", 31, 15, 0.4838709677419355, 0.13074197668190995], [""9"", 371, 122, 0.3288409703504043, -0.024288020709621216]]"
194,q21d_2026r1,channel_supplier,,2,7.1856,0.0796,"[[""1"", 658, 180, 0.2735562310030395, -0.07957276005698605], [""0"", 908, 373, 0.4107929515418502, 0.05766396048182465]]"
195,q11ar1c4,equipment_ownership_use,,2,7.1015,0.1316,"[[""1"", 325, 72, 0.22153846153846155, -0.131590529521564], [""0"", 1241, 481, 0.38759065269943593, 0.03446166163941039]]"
196,q23_2026_Lr8r13,brand_funnel,,9,7.0835,0.1639,"[[""10"", 115, 24, 0.20869565217391303, -0.1444333388861125], [""8"", 74, 14, 0.1891891891891892, -0.16393980187083634], [""__MISSING__"", 1258, 484, 0.3847376788553259, 0.03160868779530035], [""7"", 36, 7, 0.19444444444444445, -0.1586845466155811], [""9"", 68, 20, 0.29411764705882354, -0.059011344001202004]]"
197,q10r6,other,,3,7.0421,0.1573,"[[""2"", 239, 122, 0.5104602510460251, 0.15733125998599956], [""1"", 1305, 425, 0.32567049808429116, -0.027458492975734383], [""3"", 22, 6, 0.2727272727272727, -0.08040171833275284]]"
198,q11br5c4,equipment_ownership_use,,2,7.0056,0.1629,"[[""1"", 226, 43, 0.1902654867256637, -0.16286350433436184], [""0"", 1340, 510, 0.3805970149253731, 0.02746802386534758]]"
199,q11ar14c2,equipment_ownership_use,,2,6.9963,0.1327,"[[""1"", 317, 154, 0.48580441640378547, 0.13267542534375992], [""0"", 1249, 399, 0.31945556445156126, -0.033673426608464285]]"
200,q30_2026r6oe,switching_loyalty,"In general, about how often do you switch to a different brand of outdoor power equipment? - Other (please specify)",38,6.9806,0.0033,"[[""__MISSING__"", 1529, 545, 0.3564421190320471, 0.0033131279720215456]]"
201,q28r3,ad_recall,,3,6.945,0.2897,"[[""1"", 56, 36, 0.6428571428571429, 0.28972815179711736], [""0"", 249, 106, 0.42570281124497994, 0.0725738201849544], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
202,q23_2026_Lr4r11,brand_funnel,,9,6.9027,0.3469,"[[""8"", 79, 39, 0.4936708860759494, 0.14054189501592385], [""9"", 99, 47, 0.47474747474747475, 0.12161848368744921], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""5"", 10, 7, 0.7, 0.3468710089399744], [""7"", 41, 21, 0.5121951219512195, 0.15906613089119398]]"
203,q25_2026r17,ad_recall,,15,6.882,0.2057,"[[""17"", 34, 19, 0.5588235294117647, 0.20569453835173918], [""1"", 274, 78, 0.2846715328467153, -0.06845745821331023], [""12"", 87, 40, 0.45977011494252873, 0.10664112388250319], [""3"", 98, 42, 0.42857142857142855, 0.075442437511403], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
204,q23_2026_Lr4r13,brand_funnel,,9,6.8804,0.2719,"[[""10"", 91, 45, 0.4945054945054945, 0.14137650344546898], [""9"", 106, 51, 0.4811320754716981, 0.12800308441167257], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""5"", 8, 5, 0.625, 0.27187100893997446], [""8"", 90, 39, 0.43333333333333335, 0.0802043422733078]]"
205,q23_2026_Lr4r6,brand_funnel,,10,6.8044,0.2719,"[[""9"", 89, 43, 0.48314606741573035, 0.1300170763557048], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""8"", 99, 46, 0.46464646464646464, 0.1115174735864391], [""10"", 100, 45, 0.45, 0.09687100893997447], [""5"", 8, 5, 0.625, 0.27187100893997446]]"
206,q15_2026r8,other,,8,6.7363,0.1945,"[[""10"", 659, 187, 0.283763277693475, -0.06936571336655056], [""6"", 42, 23, 0.5476190476190477, 0.19449005655902213], [""8"", 337, 136, 0.4035608308605341, 0.05043183980050858], [""9"", 372, 147, 0.3951612903225806, 0.042032299262555084], [""5"", 32, 13, 0.40625, 0.05312100893997446]]"
207,q11ar4c1,equipment_ownership_use,,2,6.7355,0.1034,"[[""1"", 449, 205, 0.45657015590200445, 0.1034411648419789], [""0"", 1117, 348, 0.3115487914055506, -0.04158019965447496]]"
208,q28r6,ad_recall,,3,6.7052,0.3326,"[[""1"", 35, 24, 0.6857142857142857, 0.3325852946542602], [""0"", 270, 118, 0.43703703703703706, 0.08390804597701151], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
209,q19r16,other,,2,6.6935,0.1548,"[[""1"", 237, 47, 0.19831223628691982, -0.15481675477310572], [""0"", 1329, 506, 0.38073739653875094, 0.027608405478725395]]"
210,q23_2026_Lr4r5,brand_funnel,,9,6.6745,0.1577,"[[""9"", 92, 47, 0.5108695652173914, 0.1577405741573658], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""8"", 97, 44, 0.4536082474226804, 0.10047925636265487], [""10"", 102, 46, 0.45098039215686275, 0.09785140109683721], [""6"", 20, 10, 0.5, 0.14687100893997446]]"
211,q23_2026_Lr4r9,brand_funnel,,9,6.6253,0.1415,"[[""10"", 93, 46, 0.4946236559139785, 0.14149466485395296], [""9"", 105, 51, 0.4857142857142857, 0.13258529465426017], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""8"", 81, 38, 0.4691358024691358, 0.11600681140911023], [""6"", 22, 9, 0.4090909090909091, 0.05596191803088357]]"
212,q16_2026r9,brand_funnel,,2,6.6044,0.1802,"[[""1"", 180, 96, 0.5333333333333333, 0.18020434227330778], [""0"", 1386, 457, 0.3297258297258297, -0.023403161334195843]]"
213,q23_2026_Lr4r7,brand_funnel,,10,6.5374,0.1424,"[[""9"", 113, 56, 0.49557522123893805, 0.1424462301789125], [""8"", 86, 42, 0.4883720930232558, 0.13524310196323025], [""10"", 89, 42, 0.47191011235955055, 0.118781121299525], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""5"", 9, 4, 0.4444444444444444, 0.09131545338441888]]"
214,q14r13,channel_supplier,,2,6.5347,0.1606,"[[""1"", 218, 112, 0.5137614678899083, 0.16063247682988274], [""0"", 1348, 441, 0.3271513353115727, -0.025977655748452844]]"
215,q11br13c4,equipment_ownership_use,,2,6.4526,0.1432,"[[""1"", 262, 55, 0.2099236641221374, -0.14320532693788815], [""0"", 1304, 498, 0.38190184049079756, 0.02877284943077202]]"
216,q16_2026r5,brand_funnel,,2,6.2972,0.0791,"[[""1"", 613, 168, 0.2740619902120718, -0.07906700084795376], [""0"", 953, 385, 0.40398740818467993, 0.05085841712465439]]"
217,q23_2026_Lr4r15,brand_funnel,,10,6.2557,0.1569,"[[""9"", 100, 51, 0.51, 0.15687100893997447], [""__MISSING__"", 1208, 388, 0.3211920529801324, -0.03193693807989312], [""8"", 87, 40, 0.45977011494252873, 0.10664112388250319], [""7"", 44, 21, 0.4772727272727273, 0.12414373621270175], [""10"", 102, 43, 0.4215686274509804, 0.06843963639095485]]"
218,q8,other,What gender do you identify with?,3,6.0478,0.089,"[[""2"", 477, 126, 0.2641509433962264, -0.08897804766379913], [""1"", 1085, 427, 0.3935483870967742, 0.040419396036748656]]"
219,q11ar13c1,equipment_ownership_use,,2,5.9349,0.0904,"[[""1"", 496, 220, 0.4435483870967742, 0.09041939603674864], [""0"", 1070, 333, 0.31121495327102805, -0.041914037788997494]]"
220,q23_2026_Lr3r12,brand_funnel,,10,5.9239,0.3531,"[[""9"", 68, 36, 0.5294117647058824, 0.17628277364585682], [""5"", 10, 0, 0.0, -0.35312899106002554], [""10"", 85, 39, 0.4588235294117647, 0.10569453835173914], [""6"", 25, 6, 0.24, -0.11312899106002555], [""7"", 57, 16, 0.2807017543859649, -0.07242723667406065]]"
221,q15_2026r7,other,,10,5.8236,0.1296,"[[""6"", 58, 28, 0.4827586206896552, 0.12962962962962965], [""10"", 494, 155, 0.31376518218623484, -0.03936380887379071], [""7"", 202, 61, 0.30198019801980197, -0.05114879304022357], [""9"", 380, 148, 0.3894736842105263, 0.03634469315050076], [""3"", 10, 3, 0.3, -0.053128991060025554]]"
222,q28r2,ad_recall,,3,5.7306,0.2426,"[[""1"", 47, 28, 0.5957446808510638, 0.24261568979103826], [""0"", 258, 114, 0.4418604651162791, 0.08873147405625353], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
223,q31_2026r5,switching_loyalty,,3,5.7224,0.099,"[[""1"", 354, 159, 0.4491525423728814, 0.09602355131285584], [""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""0"", 972, 333, 0.3425925925925926, -0.010536398467432928]]"
224,q11br2c2,equipment_ownership_use,,2,5.6732,0.0884,"[[""1"", 496, 219, 0.4415322580645161, 0.08840326700449058], [""0"", 1070, 334, 0.3121495327102804, -0.040979458349745146]]"
225,q11ar8c1,equipment_ownership_use,,2,5.6682,0.0774,"[[""1"", 590, 254, 0.43050847457627117, 0.07737948351624563], [""0"", 976, 299, 0.30635245901639346, -0.04677653204363208]]"
226,q26r4,other,,2,5.5787,0.1335,"[[""1"", 261, 127, 0.48659003831417624, 0.1334610472541507], [""0"", 1305, 426, 0.3264367816091954, -0.026692209450830118]]"
227,q21r17,channel_supplier,,4,5.5777,0.4069,"[[""1"", 25, 19, 0.76, 0.40687100893997447], [""2"", 22, 13, 0.5909090909090909, 0.2377800998490654], [""__MISSING__"", 1490, 510, 0.3422818791946309, -0.010847111865394665], [""3"", 29, 11, 0.3793103448275862, 0.026181353767560644]]"
228,q21d_2026r4,channel_supplier,,2,5.3953,0.0827,"[[""4"", 525, 142, 0.2704761904761905, -0.08265280058383506], [""0"", 1041, 411, 0.39481268011527376, 0.04168368905524822]]"
229,q15_2026r6,other,,7,5.3859,0.1469,"[[""10"", 619, 176, 0.284329563812601, -0.06879942724742455], [""8"", 291, 121, 0.41580756013745707, 0.06267856907743152], [""7"", 181, 75, 0.4143646408839779, 0.061235649823952354], [""9"", 374, 145, 0.3877005347593583, 0.03457154369933274], [""4"", 8, 4, 0.5, 0.14687100893997446]]"
230,q28r16,ad_recall,,3,5.3349,0.2183,"[[""0"", 263, 118, 0.44866920152091255, 0.09554021046088701], [""1"", 42, 24, 0.5714285714285714, 0.21829958036854585], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
231,q11ar2c1,equipment_ownership_use,,2,5.3183,0.0645,"[[""1"", 704, 294, 0.41761363636363635, 0.06448464530361081], [""0"", 862, 259, 0.3004640371229698, -0.052664953937055725]]"
232,q24r8,other,,2,5.2868,0.0733,"[[""1"", 604, 169, 0.27980132450331124, -0.0733276665567143], [""0"", 962, 384, 0.3991683991683992, 0.04603940810837365]]"
233,q11ar13c2,equipment_ownership_use,,2,5.26,0.0735,"[[""1"", 600, 256, 0.4266666666666667, 0.07353767560664115], [""0"", 966, 297, 0.30745341614906835, -0.045675574910957195]]"
234,q14r10,channel_supplier,,2,5.2568,0.0649,"[[""0"", 694, 200, 0.2881844380403458, -0.06494455301967972], [""1"", 872, 353, 0.4048165137614679, 0.051687522701442334]]"
235,q11ar8c2,equipment_ownership_use,,2,5.2561,0.1152,"[[""1"", 316, 148, 0.46835443037974683, 0.11522543931972129], [""0"", 1250, 405, 0.324, -0.029128991060025533]]"
236,q11ar10c4,equipment_ownership_use,,2,5.2291,0.1502,"[[""1"", 202, 41, 0.20297029702970298, -0.15015869403032256], [""0"", 1364, 512, 0.375366568914956, 0.022237577854930468]]"
237,q21r8,channel_supplier,,4,5.1377,0.1135,"[[""1"", 192, 46, 0.23958333333333334, -0.1135456577266922], [""__MISSING__"", 1141, 441, 0.38650306748466257, 0.03337407642463702], [""2"", 123, 31, 0.25203252032520324, -0.10109647073482231], [""3"", 110, 35, 0.3181818181818182, -0.034947172878207367]]"
238,q23_2026_Lr7r3,brand_funnel,,11,5.137,0.242,"[[""10"", 97, 21, 0.21649484536082475, -0.1366341456992008], [""6"", 18, 10, 0.5555555555555556, 0.20242656449553004], [""5"", 9, 1, 0.1111111111111111, -0.24201787994891444], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""8"", 78, 22, 0.28205128205128205, -0.0710777090087435]]"
239,q11br7c4,equipment_ownership_use,,2,5.1279,0.1624,"[[""1"", 173, 33, 0.1907514450867052, -0.16237754597332035], [""0"", 1393, 520, 0.37329504666188085, 0.020166055601855304]]"
240,q28r18,ad_recall,,3,5.0757,0.1107,"[[""0"", 304, 141, 0.46381578947368424, 0.1106867984136587], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
241,q28r8,ad_recall,,3,5.0547,0.1715,"[[""0"", 244, 110, 0.45081967213114754, 0.097690681071122], [""1"", 61, 32, 0.5245901639344263, 0.1714611728744007], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
242,q11br4c2,equipment_ownership_use,,2,5.0378,0.0886,"[[""1"", 455, 201, 0.44175824175824174, 0.0886292506982162], [""0"", 1111, 352, 0.31683168316831684, -0.03629730789170871]]"
243,q23_2026_Lr1r11,brand_funnel,,8,5.0347,0.2388,"[[""10"", 35, 4, 0.11428571428571428, -0.23884327677431128], [""8"", 22, 3, 0.13636363636363635, -0.2167653546963892], [""9"", 21, 4, 0.19047619047619047, -0.16265280058383508], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103], [""7"", 9, 4, 0.4444444444444444, 0.09131545338441888]]"
244,q28r7,ad_recall,,3,5.0267,0.1853,"[[""0"", 266, 121, 0.4548872180451128, 0.10175822698508724], [""1"", 39, 21, 0.5384615384615384, 0.1853325474015129], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
245,q10r5,other,,2,5.0148,0.126,"[[""2"", 263, 126, 0.4790874524714829, 0.12595846141145733], [""1"", 1303, 427, 0.32770529547198773, -0.02542369558803781]]"
246,q28r10,ad_recall,,3,4.973,0.1654,"[[""0"", 251, 114, 0.4541832669322709, 0.10105427587224536], [""1"", 54, 28, 0.5185185185185185, 0.16538952745849295], [""__MISSING__"", 1261, 411, 0.3259318001586043, -0.027197190901421253]]"
247,q26r3,other,,2,4.9564,0.1258,"[[""1"", 261, 125, 0.4789272030651341, 0.12579821200510855], [""0"", 1305, 428, 0.32796934865900385, -0.025159642401021698]]"
