rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
19,q11othr3,equipment_ownership_use,,101,34.1151,0.6469,"[[""2"", 8, 8, 1.0, 0.6468710089399745], [""__MISSING__"", 1417, 488, 0.34438955539872973, -0.008739435661295814]]"
20,q11ar4c4,equipment_ownership_use,,2,34.0133,0.1495,"[[""0"", 772, 388, 0.5025906735751295, 0.149461682515104], [""1"", 794, 165, 0.20780856423173805, -0.1453204268282875]]"
21,q19_2026r7,brand_funnel,,42,30.7783,0.3969,"[[""0"", 291, 148, 0.5085910652920962, 0.15546207423207065], [""__MISSING__"", 586, 152, 0.2593856655290102, -0.09374332553101533], [""3"", 8, 6, 0.75, 0.39687100893997446], [""90"", 10, 0, 0.0, -0.35312899106002554], [""30"", 27, 5, 0.18518518518518517, -0.16794380587484037]]"
22,q18r5,brand_funnel,,6,30.5959,0.2097,"[[""4"", 167, 94, 0.562874251497006, 0.20974526043698044], [""1"", 445, 104, 0.23370786516853934, -0.11942112589148621], [""2"", 461, 109, 0.23644251626898047, -0.11668647479104508], [""5"", 217, 110, 0.5069124423963134, 0.15378345133628785], [""6"", 169, 86, 0.5088757396449705, 0.15574674858494492]]"
23,q23_2026_Lr13r4,brand_funnel,,10,30.3748,0.371,"[[""9"", 75, 53, 0.7066666666666667, 0.3535376756066411], [""10"", 83, 52, 0.6265060240963856, 0.27337703303636], [""8"", 73, 46, 0.6301369863013698, 0.2770079952413443], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 29, 21, 0.7241379310344828, 0.3710089399744572]]"
24,q19_2026r11,brand_funnel,,41,30.3003,0.3469,"[[""__MISSING__"", 732, 181, 0.24726775956284153, -0.10586123149718402], [""0"", 340, 143, 0.42058823529411765, 0.06745924423409211], [""10"", 141, 64, 0.45390070921985815, 0.1007717181598326], [""7"", 10, 7, 0.7, 0.3468710089399744], [""4"", 14, 9, 0.6428571428571429, 0.28972815179711736]]"
25,q23_2026_Lr13r5,brand_funnel,,9,29.3907,0.3493,"[[""9"", 84, 59, 0.7023809523809523, 0.3492519613209268], [""8"", 73, 50, 0.684931506849315, 0.3318025157892895], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 76, 42, 0.5526315789473685, 0.19950258788734293], [""7"", 32, 19, 0.59375, 0.24062100893997446]]"
26,q24_2026_Lr13,brand_funnel,How likely are you to recommend RedMax to ?,9,29.3852,0.3457,"[[""8"", 83, 58, 0.6987951807228916, 0.34566618966286605], [""9"", 80, 52, 0.65, 0.2968710089399745], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 76, 45, 0.5921052631578947, 0.23897627209786915], [""7"", 31, 20, 0.6451612903225806, 0.2920322992625551]]"
27,q23_2026_Lr13r1,brand_funnel,,10,29.286,0.3318,"[[""9"", 73, 50, 0.684931506849315, 0.3318025157892895], [""8"", 74, 49, 0.6621621621621622, 0.30903317110213663], [""10"", 66, 43, 0.6515151515151515, 0.29838616045512595], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 39, 23, 0.5897435897435898, 0.23661459868356421]]"
28,bhf,fielding_technical,Captured variable,52,29.2555,0.3741,"[[""__MISSING__"", 548, 248, 0.45255474452554745, 0.0994257534655219], [""36"", 36, 21, 0.5833333333333334, 0.23020434227330783], [""58"", 13, 0, 0.0, -0.35312899106002554], [""30"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""51"", 20, 2, 0.1, -0.2531289910600255]]"
